,team_1,team_2,team_1_score,team_2_score
0,saudi arabia,russia,0,5
1,uruguay,egypt,1,0
2,iran,morocco,1,0
3,spain,portugal,3,3
4,australia,france,1,2
5,iceland,argentina,1,1
6,denmark,peru,1,0
7,nigeria,croatia,0,2
8,serbia,costa rica,1,0
9,mexico,germany,1,0
10,switzerland,brazil,1,1
11,south korea,sweden,0,1
12,panama,belgium,0,3
13,england,tunisia,2,1
14,japan,columbia,2,1
15,senegal,poland,2,1
16,egypt,russia,1,3
17,morocco,portugal,0,1
18,saudi arabia,uruguay,0,1
19,spain,iran,1,0
20,australia,denmark,1,1
21,peru,france,0,1
22,croatia,argentina,3,0
23,costa rica,brazil,0,2
24,iceland,nigeria,0,2
25,switzerland,serbia,2,1
26,tunisia,belgium,2,5
27,mexico,south korea,2,1
28,sweden,germany,1,2
29,panama,england,1,6
30,senegal,japan,2,2
31,columbia,poland,3,0
32,russia,uruguay,0,3
33,egypt,saudi arabia,1,2
34,portugal,iran,1,1
35,morocco,spain,2,2
36,france,denmark,0,0
37,peru,australia,2,0
38,argentina,nigeria,2,1
39,croatia,iceland,2,1
40,sweden,mexico,3,0
41,germany,south korea,0,2
42,brazil,serbia,2,0
43,costa rica,switzerland,2,2
44,poland,japan,1,0
45,columbia,senegal,1,0
46,tunisia,panama,2,1
47,belgium,england,1,0
48,argentina,france,3,4
49,portugal,uruguay,1,2
50,russia,spain,1,1
51,denmark,croatia,1,1
52,mexico,brazil,0,2
53,japan,belgium,2,3
54,switzerland,sweden,0,1
55,england,columbia,1,1
56,france,uruguay,2,0
57,belgium,brazil,2,1
58,england,sweden,2,0
59,croatia,russia,2,2
60,belgium,france,0,1
61,croatia,england,2,1
62,england,belgium,0,2
63,croatia,france,2,4
0,russia,saudi arabia,5,0
1,egypt,uruguay,0,1
2,morocco,iran,0,1
3,portugal,spain,3,3
4,france,australia,2,1
5,argentina,iceland,1,1
6,peru,denmark,0,1
7,croatia,nigeria,2,0
8,costa rica,serbia,0,1
9,germany,mexico,0,1
10,brazil,switzerland,1,1
11,sweden,south korea,1,0
12,belgium,panama,3,0
13,tunisia,england,1,2
14,columbia,japan,1,2
15,poland,senegal,1,2
16,russia,egypt,3,1
17,portugal,morocco,1,0
18,uruguay,saudi arabia,1,0
19,iran,spain,0,1
20,denmark,australia,1,1
21,france,peru,1,0
22,argentina,croatia,0,3
23,brazil,costa rica,2,0
24,nigeria,iceland,2,0
25,serbia,switzerland,1,2
26,belgium,tunisia,5,2
27,south korea,mexico,1,2
28,germany,sweden,2,1
29,england,panama,6,1
30,japan,senegal,2,2
31,poland,columbia,0,3
32,uruguay,russia,3,0
33,saudi arabia,egypt,2,1
34,iran,portugal,1,1
35,spain,morocco,2,2
36,denmark,france,0,0
37,australia,peru,0,2
38,nigeria,argentina,1,2
39,iceland,croatia,1,2
40,mexico,sweden,0,3
41,south korea,germany,2,0
42,serbia,brazil,0,2
43,switzerland,costa rica,2,2
44,japan,poland,0,1
45,senegal,columbia,0,1
46,panama,tunisia,1,2
47,england,belgium,0,1
48,france,argentina,4,3
49,uruguay,portugal,2,1
50,spain,russia,1,1
51,croatia,denmark,1,1
52,brazil,mexico,2,0
53,belgium,japan,3,2
54,sweden,switzerland,1,0
55,columbia,england,1,1
56,uruguay,france,0,2
57,brazil,belgium,1,2
58,sweden,england,0,2
59,russia,croatia,2,2
60,france,belgium,1,0
61,england,croatia,1,2
62,belgium,england,2,0
63,france,croatia,4,2
